Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
06/13/2024,TWITTER PAID FEATURESAN FRANCISCO       CA,8.00,"NT_QHWSEOR7 +14156978699
TWITTER PAID FEATURES
SAN FRANCISCO
CA
+14156978699",TWITTER PAID FEATURESAN FRANCISCO       CA,"SUITE 900
1355 MARKET ST","SAN FRANCISCO
CA",94103,UNITED STATES,'320241660646712433',Business Services-Advertising Services
06/12/2024,AplPay FLASH FUND   PITTSBURGH          PA,75.00,"NT_QHG8D6GQ +14123533301
AplPay FLASH FUND
PITTSBURGH
PA
+14123533301",AplPay FLASH FUND   PITTSBURGH          PA,"1729 WEST TILGHMAN ST
REAR","ALLENTOWN
PA",18109,UNITED STATES,'320241650616542995',Business Services-Other Services
06/12/2024,AplPay HOLIDAY #76 CCLEARFIELD          UT,4.11,"00026422    800-325-3265
AplPay HOLIDAY #76 CLEARFI 4176
CLEARFIELD
UT
Description : GAS/SERVICES Price : 0.00
800-325-3265",AplPay HOLIDAY #76 CCLEARFIELD          UT,550 EAST SOUTH TEMPLE,"SALT LAKE CITY
UT",84102-1098,UNITED STATES,'320241650604970164',Transportation-Fuel
06/12/2024,SMITHS FOOD #4142 00SYRACUSE            UT,42.19,"999999941648666111979
GROCERY STORES
SMITHS FOOD #4142 000004142
SYRACUSE
UT
GROCERY STORES
8666111979",SMITHS FOOD #4142 00SYRACUSE            UT,951 WEST 1700 SOUTH,"SYRACUSE
UT",84075,UNITED STATES,'320241650620008014',Merchandise & Supplies-Groceries
06/11/2024,AplPay BT*DD *DOORDASAN FRANCISCO       CA,18.73,"HP46W9GB    8559731040
AplPay BT*DD *DOORDASH COSTAVIDA
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE S800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320241630554934909',Restaurant-Restaurant
06/11/2024,AplPay HOLIDAY #76 CCLEARFIELD          UT,2.98,"00025460    800-325-3265
AplPay HOLIDAY #76 CLEARFI 4176
CLEARFIELD
UT
Description : GAS/SERVICES Price : 0.00
800-325-3265",AplPay HOLIDAY #76 CCLEARFIELD          UT,550 EAST SOUTH TEMPLE,"SALT LAKE CITY
UT",84102-1098,UNITED STATES,'320241640581680550',Transportation-Fuel
06/10/2024,AplPay HOLIDAY #76 CCLEARFIELD          UT,7.18,"00024484    800-325-3265
AplPay HOLIDAY #76 CLEARFI 4176
CLEARFIELD
UT
Description : GAS/SERVICES Price : 0.00
800-325-3265",AplPay HOLIDAY #76 CCLEARFIELD          UT,550 EAST SOUTH TEMPLE,"SALT LAKE CITY
UT",84102-1098,UNITED STATES,'320241630553651248',Transportation-Fuel
06/10/2024,SAM'S CLUB 6682 6682LAYTON              UT,67.05,"41620035107 WHOLESALE CLUB
SAM'S CLUB 6682 6682
LAYTON
UT
WHOLESALE CLUB",SAM'S CLUB 6682 6682LAYTON              UT,1055 WEST HILLFIELD,"LAYTON
UT",84041,UNITED STATES,'320241620525967032',Merchandise & Supplies-Wholesale Stores
06/10/2024,TARGET              LAYTON              UT,9.20,"001732348   612-3044357
TARGET
LAYTON
UT
Description : SEE INVOICE Price : 0.092
612-3044357",TARGET              LAYTON              UT,815 WEST ANTELOPE DR,"LAYTON
UT",84041,UNITED STATES,'320241630567179970',Merchandise & Supplies-Wholesale Stores
06/10/2024,USPS PO 4915970116 0CLEARFIELD          UT,10.40,"16217100719 8002758777
USPS PO 4915970116 001364119
CLEARFIELD
UT
Description : POST SVCS GO Price : 0.104
8002758777",USPS PO 4915970116 0CLEARFIELD          UT,391 EAST 1700 SOUTH,"CLEARFIELD
UT",84015,UNITED STATES,'320241630562456194',Business Services-Mailing & Shipping
06/09/2024,CUZINS KITCHEN 0000 LAYTON              UT,17.38,"75000013    818-402-2779
CUZINS KITCHEN 0000
LAYTON
UT
Description : FOOD/BEVERAGE Price : 0.00
818-402-2779",CUZINS KITCHEN 0000 LAYTON              UT,"1868 NORTH HL FLD RD
104","LAYTON
UT",84040,UNITED STATES,'320241620538223526',Restaurant-Restaurant
06/06/2024,7-ELEVEN 25946 00072SANDY               UT,22.51,"230200607 7 801-566-0521
7-ELEVEN 25946 00072594634
SANDY
UT
Description : GAS/MSC97  23204634 Price : 0.2251
801-566-0521",7-ELEVEN 25946 00072SANDY               UT,"2711 NORTH HASKELL AVE
CITY PLACE CENTER EAST","DALLAS
TX",75204,UNITED STATES,'320241590450308089',Merchandise & Supplies-Groceries
06/06/2024,AplPay HOLIDAY #76 CCLEARFIELD          UT,2.87,"00020473    800-325-3265
AplPay HOLIDAY #76 CLEARFI 4176
CLEARFIELD
UT
Description : GAS/SERVICES Price : 0.00
800-325-3265",AplPay HOLIDAY #76 CCLEARFIELD          UT,550 EAST SOUTH TEMPLE,"SALT LAKE CITY
UT",84102-1098,UNITED STATES,'320241590452020451',Transportation-Fuel
06/05/2024,AplPay HOLIDAY #76 CCLEARFIELD          UT,2.87,"00019432    800-325-3265
AplPay HOLIDAY #76 CLEARFI 4176
CLEARFIELD
UT
Description : GAS/SERVICES Price : 0.00
800-325-3265",AplPay HOLIDAY #76 CCLEARFIELD          UT,550 EAST SOUTH TEMPLE,"SALT LAKE CITY
UT",84102-1098,UNITED STATES,'320241580423761990',Transportation-Fuel
06/05/2024,AplPay WOW Vegas DOUDOUGLAS             GB,23.99,"11200000013 WOWVEGAS.COM
AplPay WOW Vegas DOUGLAS
DOUGLAS
GB
WOWVEGAS.COM",AplPay WOW Vegas DOUDOUGLAS             GB,5-9 MAIN STREET,DOUGLAS,IM9,UNITED KINGDOM OF GB AND NI,'320241580429365385',Entertainment-Other Entertainment
06/04/2024,AplPay WOW Vegas DOUDOUGLAS             GB,19.99,"11200000013 WOWVEGAS.COM
AplPay WOW Vegas DOUGLAS
DOUGLAS
GB
WOWVEGAS.COM",AplPay WOW Vegas DOUDOUGLAS             GB,5-9 MAIN STREET,DOUGLAS,IM9,UNITED KINGDOM OF GB AND NI,'320241570406800429',Entertainment-Other Entertainment
06/04/2024,AplPay WOW Vegas DOUDOUGLAS             GB,19.99,"11200000013 WOWVEGAS.COM
AplPay WOW Vegas DOUGLAS
DOUGLAS
GB
WOWVEGAS.COM",AplPay WOW Vegas DOUDOUGLAS             GB,5-9 MAIN STREET,DOUGLAS,IM9,UNITED KINGDOM OF GB AND NI,'320241570406800493',Entertainment-Other Entertainment
06/04/2024,MOBILE PAYMENT - THANK YOU,-989.06,MOBILE PAYMENT - THANK YOU,MOBILE PAYMENT - THANK YOU,,,,,'320241560367091939',
06/03/2024,K74G:0008 20.00% back,-1.77,K74G:0008 20.00% back,K74G:0008 20.00% back,356 MAIN ST,"GRAND JUNCTION
CO",81501,UNITED STATES,'320241550362915465',Restaurant-Restaurant
06/02/2024,CUZINS KITCHEN 0000 LAYTON              UT,17.09,"75600009    818-402-2779
CUZINS KITCHEN 0000
LAYTON
UT
Description : FOOD/BEVERAGE Price : 0.00
818-402-2779",CUZINS KITCHEN 0000 LAYTON              UT,"1868 NORTH HL FLD RD
104","LAYTON
UT",84040,UNITED STATES,'320241550356396672',Restaurant-Restaurant
06/02/2024,K74G:0008 20.00% back,-3.65,K74G:0008 20.00% back,K74G:0008 20.00% back,303 2ND ST STE S800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320241540336251751',Restaurant-Restaurant
06/02/2024,SAM'S CLUB 6682 6682LAYTON              UT,78.79,"41540027645 WHOLESALE CLUB
SAM'S CLUB 6682 6682
LAYTON
UT
WHOLESALE CLUB",SAM'S CLUB 6682 6682LAYTON              UT,1055 WEST HILLFIELD,"LAYTON
UT",84041,UNITED STATES,'320241540315681854',Merchandise & Supplies-Wholesale Stores
